"first_name","last_name","customer_id","gasto_cliente"
Richard,Cunningham,26,0.95969367190648931882
Helena,Holý,6,1.00000000000000000000
François,Tremblay,3,0.79846835953244659412
Ladislav,Kovács,45,0.91938734381297863765
Dominique,Lefebvre,40,0.77831519548569125353
Manoj,Pareek,58,0.77831519548569125353
Frank,Harris,16,0.75816203143893591294
Alexandre,Rocha,11,0.75816203143893591294
Eduardo,Martins,10,0.75816203143893591294
Robert,Brown,29,0.75816203143893591294
Michelle,Brooks,18,0.75816203143893591294
Julia,Barnett,28,0.87908101571946795647
Joakim,Johansson,51,0.77831519548569125353
Phil,Hughes,53,0.75816203143893591294
Stanislaw,Wójcik,49,0.75816203143893591294
John,Gordon,23,0.75816203143893591294
Leonie,Köhler,2,0.75816203143893591294
Isabelle,Mercier,43,0.81862152357920193470
Fynn,Zimmermann,37,0.87908101571946795647
Wyatt,Girard,42,0.79846835953244659412
Niklas,Schröder,38,0.75816203143893591294
Mark,Taylor,55,0.75816203143893591294
Edward,Francis,30,0.75816203143893591294
Dan,Miller,20,0.79846835953244659412
Fernanda,Ramos,13,0.75816203143893591294
Hannah,Schneider,36,0.75816203143893591294
Heather,Leacock,22,0.79846835953244659412
Johannes,Van der Berg,48,0.81862152357920193470
Victor,Stevens,25,0.85892785167271261588
Tim,Goyer,19,0.77831519548569125353
Patrick,Gray,27,0.75816203143893591294
Luis,Rojas,57,0.93954050785973397823
Kara,Nielsen,9,0.75816203143893591294
Madalena,Sampaio,35,0.75816203143893591294
Emma,Jones,52,0.75816203143893591294
Lucas,Mancini,47,0.75816203143893591294
Bjørn,Hansen,4,0.79846835953244659412
Hugh,O'Reilly,46,0.91938734381297863765
Jack,Smith,17,0.79846835953244659412
Daan,Peeters,8,0.75816203143893591294
Roberto,Almeida,12,0.75816203143893591294
Frank,Ralston,24,0.87908101571946795647
Enrique,Muñoz,50,0.75816203143893591294
Mark,Philips,14,0.75816203143893591294
Luís,Gonçalves,1,0.79846835953244659412
Puja,Srivastava,59,0.73841193067311567916
Steve,Murray,54,0.75816203143893591294
Diego,Gutiérrez,56,0.75816203143893591294
João,Fernandes,34,0.79846835953244659412
Martha,Silk,31,0.75816203143893591294
František,Wichterlová,5,0.81862152357920193470
Marc,Dubois,41,0.75816203143893591294
Aaron,Mitchell,32,0.75816203143893591294
Astrid,Gruber,7,0.85892785167271261588
Camille,Bernard,39,0.77831519548569125353
Terhi,Hämäläinen,44,0.83877468762595727529
Jennifer,Peterson,15,0.77831519548569125353
Kathy,Chase,21,0.75816203143893591294
Ellie,Sullivan,33,0.75816203143893591294
