"invoice_id","first_name","last_name","total","diferencia_total"
98,Luís,Gonçalves,3.98,
121,Luís,Gonçalves,3.96,-0.02
143,Luís,Gonçalves,5.94,1.98
195,Luís,Gonçalves,0.99,-4.95
316,Luís,Gonçalves,1.98,0.99
327,Luís,Gonçalves,13.86,11.88
382,Luís,Gonçalves,8.91,-4.95
1,Leonie,Köhler,1.98,
12,Leonie,Köhler,13.86,11.88
67,Leonie,Köhler,8.91,-4.95
196,Leonie,Köhler,1.98,-6.93
219,Leonie,Köhler,3.96,1.98
241,Leonie,Köhler,5.94,1.98
293,Leonie,Köhler,0.99,-4.95
99,François,Tremblay,3.98,
110,François,Tremblay,13.86,9.88
165,François,Tremblay,8.91,-4.95
294,François,Tremblay,1.98,-6.93
317,François,Tremblay,3.96,1.98
339,François,Tremblay,5.94,1.98
391,François,Tremblay,0.99,-4.95
2,Bjørn,Hansen,3.96,
24,Bjørn,Hansen,5.94,1.98
76,Bjørn,Hansen,0.99,-4.95
197,Bjørn,Hansen,1.98,0.99
208,Bjørn,Hansen,15.86,13.88
263,Bjørn,Hansen,8.91,-6.95
392,Bjørn,Hansen,1.98,-6.93
77,František,Wichterlová,1.98,
100,František,Wichterlová,3.96,1.98
122,František,Wichterlová,5.94,1.98
174,František,Wichterlová,0.99,-4.95
295,František,Wichterlová,1.98,0.99
306,František,Wichterlová,16.86,14.88
361,František,Wichterlová,8.91,-7.95
46,Helena,Holý,8.91,
175,Helena,Holý,1.98,-6.93
198,Helena,Holý,3.96,1.98
220,Helena,Holý,5.94,1.98
272,Helena,Holý,0.99,-4.95
393,Helena,Holý,1.98,0.99
404,Helena,Holý,25.86,23.88
78,Astrid,Gruber,1.98,
89,Astrid,Gruber,18.86,16.88
144,Astrid,Gruber,8.91,-9.95
273,Astrid,Gruber,1.98,-6.93
296,Astrid,Gruber,3.96,1.98
318,Astrid,Gruber,5.94,1.98
370,Astrid,Gruber,0.99,-4.95
3,Daan,Peeters,5.94,
55,Daan,Peeters,0.99,-4.95
176,Daan,Peeters,1.98,0.99
187,Daan,Peeters,13.86,11.88
242,Daan,Peeters,8.91,-4.95
371,Daan,Peeters,1.98,-6.93
394,Daan,Peeters,3.96,1.98
56,Kara,Nielsen,1.98,
79,Kara,Nielsen,3.96,1.98
101,Kara,Nielsen,5.94,1.98
153,Kara,Nielsen,0.99,-4.95
274,Kara,Nielsen,1.98,0.99
285,Kara,Nielsen,13.86,11.88
340,Kara,Nielsen,8.91,-4.95
25,Eduardo,Martins,8.91,
154,Eduardo,Martins,1.98,-6.93
177,Eduardo,Martins,3.96,1.98
199,Eduardo,Martins,5.94,1.98
